protocol,target_city,target,comparison_budget,n_calibration,n_eval,calibration_anchor_ids,mae,rmse,r2,spearman,kendall,design_regret_kwh_m2,top_recovery
zero_shot_absolute_aligned_3shot,Hatay,cooling,3,0,997,base_0948|base_0945|base_0724,59.89113874016927,59.999893618975555,-11.134329481440064,0.985130173823012,0.89487740329422,0.0,0.76
zero_shot_absolute_aligned_3shot,Hatay,total,3,0,997,base_0948|base_0945|base_0724,54.225940205311,54.446026612073936,-8.205078259793865,0.9610764592107929,0.8340926393638749,1.5962959999999953,0.8
3_shot_global_bias,Hatay,heating,3,3,997,base_0948|base_0945|base_0724,2.606384543120436,3.415285649798539,0.9431405961467569,0.9879289097463578,0.9123555405171339,0.3305550000000004,0.94
3_shot_global_bias,Hatay,cooling,3,3,997,base_0948|base_0945|base_0724,3.2410318261807167,3.981007057015466,0.9465803894839065,0.985130173823012,0.89487740329422,0.0,0.76
3_shot_global_bias,Hatay,total,3,3,997,base_0948|base_0945|base_0724,4.080956431905843,5.081143010677178,0.9198288820147398,0.9610764592107929,0.8340926393638749,1.5962959999999953,0.8
3_shot_raw_relative,Hatay,heating,3,3,997,base_0948|base_0945|base_0724,2.1673722508111966,2.4982769048877227,0.9695750844315094,0.9922750602048801,0.931863864686429,0.4893470000000004,0.94
3_shot_raw_relative,Hatay,cooling,3,3,997,base_0948|base_0945|base_0724,1.958035809584857,2.6062679941779585,0.9771043507171304,0.99860074707063,0.9682904134089015,0.0,0.94
3_shot_raw_relative,Hatay,total,3,3,997,base_0948|base_0945|base_0724,3.4014524614529202,4.451457526238025,0.938468206946925,0.9765462212263951,0.8720901660805711,0.1543230000000051,0.92
zero_shot_absolute,Kars,heating,0,0,1000,,15.052776588690575,15.595793467324109,0.9084057606953129,0.9977554577554577,0.9615335335335335,2.220088000000004,0.94
zero_shot_absolute,Kars,cooling,0,0,1000,,0.4955382321538964,0.6638099919302146,0.9831824469049641,0.992979644979645,0.9293773773773775,0.0817490000000003,0.9
zero_shot_absolute,Kars,total,0,0,1000,,14.875149458338205,15.382448864189591,0.8984683031024984,0.9972605772605773,0.9587587587587588,0.9799199999999928,0.94
zero_shot_absolute_aligned_1shot,Kars,heating,1,0,999,base_0948,15.053065220933858,15.596603458244092,0.9084644911806421,0.9977523575679886,0.9615206388753484,2.220088000000004,0.94
zero_shot_absolute_aligned_1shot,Kars,cooling,1,0,999,base_0948,0.4951558902377309,0.663561615076665,0.9832096288294288,0.993018228649491,0.9295648353764587,0.0817490000000003,0.9
zero_shot_absolute_aligned_1shot,Kars,total,1,0,999,base_0948,14.874389424326978,15.382194569469549,0.8985393154972818,0.9972598891476646,0.9587764116822235,0.9799199999999928,0.94
1_shot_global_bias,Kars,heating,1,1,999,base_0948,3.1905426279873033,4.091769233459623,0.9936998367335033,0.9977523575679886,0.9615206388753484,2.220088000000004,0.94
1_shot_global_bias,Kars,cooling,1,1,999,base_0948,1.0602319572184853,1.233576443953765,0.941973026333674,0.993018228649491,0.9295648353764587,0.0817490000000003,0.9
1_shot_global_bias,Kars,total,1,1,999,base_0948,3.2154148056756693,3.9941918788882873,0.9931590087381944,0.9972598891476646,0.9587764116822235,0.9799199999999928,0.94
1_shot_raw_relative,Kars,heating,1,1,999,base_0948,3.9670456095505537,4.830150323111017,0.9912208830760074,0.9950870509788344,0.9452919853721459,2.220088000000004,0.96
1_shot_raw_relative,Kars,cooling,1,1,999,base_0948,0.5825778845257038,0.8675558456762715,0.9712992882683529,0.9916131722905269,0.9262749723671568,0.46553800000000045,0.92
1_shot_raw_relative,Kars,total,1,1,999,base_0948,3.732510136696631,4.582483374852558,0.9909954299055878,0.9932232633435035,0.9367864858846824,0.9799199999999928,0.94
zero_shot_absolute_aligned_3shot,Kars,heating,3,0,997,base_0948|base_0945|base_0724,15.053116823412195,15.596381475860353,0.9085185072942786,0.9977535644333103,0.961539236182443,2.220088000000004,0.94
